time: 0.0282  current fps: 35.461  average fps:  35.567
time: 0.0270  current fps: 37.037  average fps:  35.570
time: 0.0276  current fps: 36.232  average fps:  35.572
time: 0.0270  current fps: 37.037  average fps:  35.575
time: 0.0276  current fps: 36.232  average fps:  35.576
time: 0.0270  current fps: 37.037  average fps:  35.580
time: 0.0264  current fps: 37.879  average fps:  35.585
time: 0.0288  current fps: 34.722  average fps:  35.583
time: 0.0264  current fps: 37.879  average fps:  35.588
time: 0.0270  current fps: 37.037  average fps:  35.592
time: 0.0270  current fps: 37.037  average fps:  35.595
time: 0.0288  current fps: 34.722  average fps:  35.593
time: 0.0294  current fps: 34.014  average fps:  35.590
time: 0.0276  current fps: 36.232  average fps:  35.591
time: 0.0276  current fps: 36.232  average fps:  35.592
time: 0.0270  current fps: 37.037  average fps:  35.596
time: 0.0276  current fps: 36.232  average fps:  35.597
time: 0.0270  current fps: 37.037  average fps:  35.600
time: 0.0264  current fps: 37.879  average fps:  35.606
time: 0.0276  current fps: 36.232  average fps:  35.607
time: 0.0276  current fps: 36.232  average fps:  35.608
time: 0.0276  current fps: 36.232  average fps:  35.610
time: 0.0270  current fps: 37.037  average fps:  35.613
time: 0.0270  current fps: 37.037  average fps:  35.616
time: 0.0270  current fps: 37.037  average fps:  35.619
time: 0.0276  current fps: 36.232  average fps:  35.621
time: 0.0288  current fps: 34.722  average fps:  35.619
time: 0.0294  current fps: 34.014  average fps:  35.615
time: 0.0282  current fps: 35.461  average fps:  35.615
time: 0.0288  current fps: 34.722  average fps:  35.613
time: 0.0282  current fps: 35.461  average fps:  35.612
time: 0.0276  current fps: 36.232  average fps:  35.614
time: 0.0282  current fps: 35.461  average fps:  35.613
time: 0.0282  current fps: 35.461  average fps:  35.613
time: 0.0270  current fps: 37.037  average fps:  35.616
time: 0.0282  current fps: 35.461  average fps:  35.616
time: 0.0270  current fps: 37.037  average fps:  35.619
time: 0.0270  current fps: 37.037  average fps:  35.622
time: 0.0282  current fps: 35.461  average fps:  35.622
time: 0.0282  current fps: 35.461  average fps:  35.621
time: 0.0270  current fps: 37.037  average fps:  35.624
time: 0.0270  current fps: 37.037  average fps:  35.627
time: 0.0276  current fps: 36.232  average fps:  35.629
time: 0.0288  current fps: 34.722  average fps:  35.627
time: 0.0288  current fps: 34.722  average fps:  35.625
time: 0.0276  current fps: 36.232  average fps:  35.626
time: 0.0276  current fps: 36.232  average fps:  35.627
time: 0.0276  current fps: 36.232  average fps:  35.629
time: 0.0288  current fps: 34.722  average fps:  35.627
time: 0.0300  current fps: 33.333  average fps:  35.622
time: 0.0276  current fps: 36.232  average fps:  35.623
time: 0.0276  current fps: 36.232  average fps:  35.625
time: 0.0282  current fps: 35.461  average fps:  35.624
time: 0.0294  current fps: 34.014  average fps:  35.621
time: 0.0276  current fps: 36.232  average fps:  35.622
time: 0.0282  current fps: 35.461  average fps:  35.622
time: 0.0282  current fps: 35.461  average fps:  35.621
time: 0.0270  current fps: 37.037  average fps:  35.624
time: 0.0282  current fps: 35.461  average fps:  35.624
time: 0.0282  current fps: 35.461  average fps:  35.624
time: 0.0294  current fps: 34.014  average fps:  35.620
time: 0.0270  current fps: 37.037  average fps:  35.623
time: 0.0276  current fps: 36.232  average fps:  35.625
time: 0.0282  current fps: 35.461  average fps:  35.624
time: 0.0276  current fps: 36.232  average fps:  35.625
time: 0.0276  current fps: 36.232  average fps:  35.627
time: 0.0288  current fps: 34.722  average fps:  35.625
time: 0.0276  current fps: 36.232  average fps:  35.626
time: 0.0276  current fps: 36.232  average fps:  35.627
time: 0.0282  current fps: 35.461  average fps:  35.627
time: 0.0300  current fps: 33.333  average fps:  35.622
time: 0.0288  current fps: 34.722  average fps:  35.620
time: 0.0276  current fps: 36.232  average fps:  35.622
time: 0.0276  current fps: 36.232  average fps:  35.623
time: 0.0276  current fps: 36.232  average fps:  35.624
time: 0.0282  current fps: 35.461  average fps:  35.624
time: 0.0288  current fps: 34.722  average fps:  35.622
time: 0.0276  current fps: 36.232  average fps:  35.623
